3,BERTH,54
4,DELUXE,-24
5,COMPARTMENT,36
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,-5
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,-4
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,-3
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,-2
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,-1
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,0
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,1
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,2
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
4,COMPARTMENT,3
5,DELUXE,18
10,COMPARTMENT,36
20,COMPARTMENT,36
30,COMPARTMENT,36
40,COMPARTMENT,36
50,DELUXE,18
1,BERTH,54
2,BERTH,54
3,COMPARTMENT,36
